participant_id,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
13,birdstrikes,dziban,bfs,4. Exploration,2,2,1,0,1,1
11,birdstrikes,compassql,dfs,3. Prediction,1,1,0,0,0,1
9,birdstrikes,dziban,bfs,1. Find Extremum,1,1,1,1,1,0
35,movies,compassql,bfs,4. Exploration,2,1,2,2,2,2
19,movies,compassql,dfs,4. Exploration,2,1,0,1,0,1
56,movies,dziban,bfs,4. Exploration,1,1,2,1,2,1
48,movies,dziban,dfs,3. Prediction,2,2,2,2,2,2
34,movies,dziban,bfs,1. Find Extremum,2,2,-1,-1,-1,1
42,movies,dziban,bfs,2. Retrieve Value,1,1,-1,0,-1,-1
47,movies,compassql,bfs,2. Retrieve Value,2,2,2,2,2,2
2,movies,compassql,bfs,1. Find Extremum,-1,1,-1,0,-1,-1
5,birdstrikes,dziban,bfs,2. Retrieve Value,2,2,-1,1,-1,0
6,movies,compassql,dfs,1. Find Extremum,0,1,-1,-1,-1,1
16,birdstrikes,dziban,dfs,1. Find Extremum,0,1,-1,1,1,1
4,birdstrikes,compassql,dfs,2. Retrieve Value,2,1,0,1,0,1
29,movies,compassql,bfs,4. Exploration,1,1,1,1,1,1
28,movies,dziban,dfs,4. Exploration,1,1,1,1,-1,-1
38,movies,dziban,bfs,2. Retrieve Value,2,1,2,2,2,2
41,movies,dziban,dfs,3. Prediction,1,1,1,1,2,1
15,movies,dziban,dfs,4. Exploration,2,2,2,2,2,2
14,movies,compassql,dfs,1. Find Extremum,-1,-1,0,0,-1,0
39,movies,dziban,bfs,4. Exploration,1,1,2,1,2,1
44,movies,compassql,dfs,2. Retrieve Value,2,2,-1,1,-2,1
55,birdstrikes,dziban,dfs,4. Exploration,0,1,0,0,1,1
37,birdstrikes,dziban,bfs,4. Exploration,1,2,1,1,2,1
54,birdstrikes,compassql,dfs,1. Find Extremum,1,2,-1,-1,-1,1
8,birdstrikes,dziban,dfs,2. Retrieve Value,1,1,1,2,2,1
21,movies,dziban,bfs,1. Find Extremum,1,2,-1,-1,-1,0
22,movies,compassql,dfs,2. Retrieve Value,1,1,0,1,0,0
26,birdstrikes,compassql,bfs,2. Retrieve Value,1,2,1,2,0,1
38,birdstrikes,dziban,bfs,1. Find Extremum,2,2,2,2,2,2
2,movies,compassql,bfs,2. Retrieve Value,0,1,-1,0,-1,-1
23,birdstrikes,compassql,bfs,3. Prediction,2,2,1,1,2,1
4,movies,compassql,dfs,1. Find Extremum,1,2,0,1,0,1
5,movies,dziban,bfs,1. Find Extremum,2,2,0,1,0,0
6,movies,compassql,dfs,2. Retrieve Value,1,2,-1,1,-1,1
16,birdstrikes,dziban,dfs,2. Retrieve Value,1,1,1,0,1,0
18,birdstrikes,dziban,dfs,3. Prediction,1,1,1,0,1,1
34,birdstrikes,dziban,bfs,2. Retrieve Value,1,1,-1,-1,-1,0
42,movies,dziban,bfs,1. Find Extremum,1,1,-1,2,-1,-1
47,movies,compassql,bfs,1. Find Extremum,2,2,2,2,2,2
33,movies,compassql,dfs,4. Exploration,1,1,0,0,1,0
9,birdstrikes,dziban,bfs,2. Retrieve Value,1,1,1,1,1,1
36,movies,dziban,dfs,4. Exploration,1,1,1,1,1,1
5,birdstrikes,dziban,bfs,4. Exploration,2,2,0,1,1,1
4,movies,compassql,dfs,4. Exploration,1,1,1,1,2,1
30,movies,dziban,bfs,3. Prediction,1,1,2,2,-1,2
29,birdstrikes,compassql,bfs,2. Retrieve Value,0,0,1,1,1,1
28,movies,dziban,dfs,2. Retrieve Value,1,1,0,0,0,-1
52,movies,dziban,dfs,3. Prediction,2,1,-2,-2,-2,-1
27,birdstrikes,compassql,bfs,3. Prediction,-1,0,-1,1,-1,-2
38,movies,dziban,bfs,4. Exploration,2,2,2,2,2,2
36,movies,dziban,dfs,1. Find Extremum,1,1,2,2,1,1
35,birdstrikes,compassql,bfs,2. Retrieve Value,1,1,-1,1,-2,0
33,movies,compassql,dfs,1. Find Extremum,1,2,-2,-1,-2,-1
56,birdstrikes,dziban,bfs,2. Retrieve Value,1,1,2,1,2,1
19,movies,compassql,dfs,2. Retrieve Value,1,0,1,1,1,1
47,movies,compassql,bfs,4. Exploration,2,2,2,2,2,2
17,movies,compassql,dfs,3. Prediction,1,1,2,1,2,1
42,movies,dziban,bfs,4. Exploration,0,-1,-1,-1,0,-1
31,movies,dziban,dfs,3. Prediction,1,1,0,1,0,1
45,birdstrikes,dziban,dfs,3. Prediction,1,1,1,0,1,1
39,movies,dziban,bfs,1. Find Extremum,1,1,1,1,1,1
40,movies,compassql,dfs,3. Prediction,1,1,-2,-1,-1,-1
14,movies,compassql,dfs,4. Exploration,1,1,-1,1,0,0
13,movies,dziban,bfs,2. Retrieve Value,2,2,2,0,1,1
3,birdstrikes,compassql,bfs,2. Retrieve Value,1,2,0,0,-1,1
15,birdstrikes,dziban,dfs,1. Find Extremum,2,2,-1,1,-1,1
53,movies,dziban,bfs,3. Prediction,2,2,2,1,2,2
54,birdstrikes,compassql,dfs,4. Exploration,1,0,-2,-1,-1,1
37,birdstrikes,dziban,bfs,1. Find Extremum,0,2,1,2,2,-2
21,birdstrikes,dziban,bfs,4. Exploration,0,1,1,0,0,0
7,movies,compassql,dfs,3. Prediction,0,0,1,1,1,1
12,movies,compassql,dfs,3. Prediction,1,1,1,1,1,0
55,movies,dziban,dfs,1. Find Extremum,0,0,0,0,0,0
12,birdstrikes,compassql,dfs,4. Exploration,1,1,1,1,1,1
7,movies,compassql,dfs,4. Exploration,0,1,1,0,0,0
54,movies,compassql,dfs,3. Prediction,0,1,-2,-1,-1,1
21,birdstrikes,dziban,bfs,3. Prediction,0,1,0,0,1,-1
10,movies,compassql,bfs,2. Retrieve Value,1,1,2,2,2,2
41,birdstrikes,dziban,dfs,1. Find Extremum,1,2,1,1,1,1
53,movies,dziban,bfs,4. Exploration,1,1,1,1,2,2
31,birdstrikes,dziban,dfs,4. Exploration,1,1,0,1,0,1
51,birdstrikes,dziban,dfs,2. Retrieve Value,2,2,0,1,1,0
40,movies,compassql,dfs,4. Exploration,2,1,-2,1,-2,-1
14,movies,compassql,dfs,3. Prediction,1,1,-1,2,0,0
20,movies,compassql,dfs,2. Retrieve Value,1,1,-1,0,-1,0
45,birdstrikes,dziban,dfs,4. Exploration,1,1,1,1,1,2
48,movies,dziban,dfs,2. Retrieve Value,2,2,2,2,2,2
17,movies,compassql,dfs,4. Exploration,1,2,1,-1,1,1
42,movies,dziban,bfs,3. Prediction,1,1,1,0,1,0
47,movies,compassql,bfs,3. Prediction,2,2,2,2,2,2
11,movies,compassql,dfs,2. Retrieve Value,1,2,2,1,2,2
52,birdstrikes,dziban,dfs,4. Exploration,2,1,-2,-2,-2,0
38,birdstrikes,dziban,bfs,3. Prediction,2,1,2,2,2,2
27,movies,compassql,bfs,4. Exploration,0,1,-1,1,-1,-2
23,movies,compassql,bfs,1. Find Extremum,2,-2,2,-1,1,1
5,movies,dziban,bfs,3. Prediction,2,1,1,1,0,1
4,movies,compassql,dfs,3. Prediction,1,1,1,1,1,1
18,movies,dziban,dfs,1. Find Extremum,1,2,1,0,1,1
30,birdstrikes,dziban,bfs,4. Exploration,2,1,-1,1,-2,2
36,birdstrikes,dziban,dfs,3. Prediction,1,0,0,1,1,1
33,birdstrikes,compassql,dfs,3. Prediction,1,0,1,0,0,1
17,birdstrikes,compassql,dfs,1. Find Extremum,0,2,1,0,2,1
43,movies,compassql,bfs,2. Retrieve Value,2,2,1,2,1,0
46,birdstrikes,dziban,bfs,2. Retrieve Value,1,2,2,2,2,1
23,birdstrikes,compassql,bfs,4. Exploration,2,2,2,2,2,1
30,movies,dziban,bfs,1. Find Extremum,0,2,2,0,2,2
18,birdstrikes,dziban,dfs,4. Exploration,1,0,0,1,1,1
52,birdstrikes,dziban,dfs,1. Find Extremum,2,2,-2,-2,-2,-2
27,birdstrikes,compassql,bfs,1. Find Extremum,0,2,1,1,2,0
24,movies,dziban,dfs,2. Retrieve Value,1,1,-1,-1,0,0
49,birdstrikes,dziban,dfs,2. Retrieve Value,1,1,-1,-1,-1,-1
37,movies,dziban,bfs,3. Prediction,0,1,0,0,-1,0
7,birdstrikes,compassql,dfs,1. Find Extremum,1,2,-2,0,-2,0
12,movies,compassql,dfs,1. Find Extremum,1,2,2,1,1,1
1,movies,compassql,bfs,2. Retrieve Value,1,1,1,1,1,1
55,birdstrikes,dziban,dfs,3. Prediction,0,0,0,0,0,0
31,birdstrikes,dziban,dfs,1. Find Extremum,-1,1,0,-1,-1,0
32,birdstrikes,compassql,bfs,2. Retrieve Value,0,1,2,2,2,2
39,movies,dziban,bfs,3. Prediction,1,0,1,1,1,1
45,movies,dziban,dfs,1. Find Extremum,2,2,2,1,0,2
40,movies,compassql,dfs,1. Find Extremum,-1,1,-2,-1,-1,-1
41,movies,dziban,dfs,4. Exploration,2,2,2,2,2,2
15,movies,dziban,dfs,3. Prediction,2,2,1,1,1,1
25,movies,dziban,bfs,2. Retrieve Value,1,1,1,1,1,1
50,birdstrikes,compassql,dfs,2. Retrieve Value,1,1,0,0,0,0
53,movies,dziban,bfs,1. Find Extremum,1,1,-1,-1,-1,0
